Elongation,Force,?,Time
46.00609094,6.35310173,15.47584403,0.230716674
46.11597955,6.534128666,15.49908053,0.231266673
46.22609913,6.643310547,15.55717364,0.231816673
46.33603618,6.511332035,15.68497717,0.232366673
46.44606262,6.393690109,15.66174068,0.232916673
46.5560481,6.466248035,15.73145017,0.233466673
46.66607827,6.549122334,15.75468853,0.234016673
46.77606001,6.420235157,15.76630771,0.234566673
46.88603804,6.499187469,15.78954235,0.235116673
46.99606821,6.555751801,15.82439989,0.235666672
47.10605368,6.65387249,15.91734774,0.236216672
47.21608013,6.553345203,15.96382074,0.236766672
47.32596874,6.514150143,15.96382074,0.237316672
47.43608832,6.588688374,16.04515128,0.237866672
47.54597694,6.57400322,16.04515128,0.238416672
47.65595868,6.837833881,16.0567686,0.238966672
47.76608199,6.769340038,16.08000509,0.239516671
47.8759259,6.685495377,16.16133563,0.240066671
47.98600078,6.724815369,16.17295481,0.240616671
48.09598252,6.6451478,16.19619131,0.241166671
48.20596427,6.569657803,16.21942967,0.241716671
48.31594974,6.715622902,16.23104699,0.242266671
48.42597619,6.724445343,16.25428349,0.242816671
48.53600264,6.832164764,16.33561403,0.243366671
48.64598438,6.849325657,16.4169427,0.24391667
48.75601456,6.903356075,16.38208702,0.24446667
48.86608943,6.783145428,16.49827138,0.24501667
48.97607118,6.750805378,16.49827138,0.24556667
49.08605665,6.863841534,16.50989242,0.24611667
49.1960831,6.910574436,16.53312705,0.24666667
49.30606484,6.74969101,16.59122109,0.24721667
49.41604659,6.964970112,16.63769409,0.24776667
49.52607676,6.869393349,16.67254977,0.248316669
49.63605851,6.922933102,16.67254977,0.248866669
49.74604025,6.945211887,16.67254977,0.249416669
49.8559773,6.921797752,16.69578813,0.249966669
49.96604845,6.813624382,16.74225926,0.250516669
50.07603392,6.934999943,16.77711681,0.251066669
50.18601567,7.04517746,16.83520898,0.251616669
50.29599741,6.975866795,16.89330116,0.252166669
50.40597916,6.922909737,16.91653766,0.252716668
50.5159609,7.087543964,16.95139334,0.253266668
50.62598735,7.148095608,16.98624901,0.253816668
